app名称,app包名,版本名称,版本值,最小支持版本,目标SDK,活跃开始时间,活跃结束时间
文件管理,com.oneplus.filemanager,2.6.2.200618191557.3e42fa5,30001353,26,29,1659777042112 ,1659777089298 
文件管理,com.oneplus.filemanager,2.6.2.200618191557.3e42fa5,30001353,26,29,1660093099028 ,1660093101453 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660093101453 ,1660093103411 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660115290401 ,1660120928375 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660189164736 ,1660371750240 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660383171268 ,1660383231260 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660383439311 ,1660383444792 
倒数日,com.clover.daysmatter,1.6.18,78,21,30,1660383444857 ,1660383446001 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660383446029 ,1660383447884 
咚漫漫画,com.naver.linewebtoon.cn,2.7.0,270000,21,28,1660383447957 ,1660383448504 
咚漫漫画,com.naver.linewebtoon.cn,2.7.0,270000,21,28,1660383448504 ,1660383448635 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660383448635 ,1660383448671 
皮皮虾,com.sup.android.superb,3.7.6,376,21,26,1660383451508 ,1660383452177 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660383452177 ,1660383452624 
皮皮虾,com.sup.android.superb,3.7.6,376,21,26,1660383454000 ,1660383454003 
懂车帝,com.ss.android.auto,6.6.1,661,18,28,1660383454003 ,1660383455126 
皮皮虾,com.sup.android.superb,3.7.6,376,21,26,1660383455695 ,1660383460950 
系统界面,com.android.systemui,10,29,29,29,1660483565186 ,1660483565206 
系统界面,com.android.systemui,10,29,29,29,1660483565371 ,1660483565383 
皮皮虾,com.sup.android.superb,3.7.6,376,21,26,1660483566939 ,1660483568044 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483568086 ,1660483571478 
抖音,com.ss.android.ugc.aweme,21.0.0,210001,19,29,1660483571565 ,1660483665096 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483665100 ,1660483684438 
抖音,com.ss.android.ugc.aweme,21.0.0,210001,19,29,1660483684490 ,1660483686365 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483686365 ,1660483698751 
抖音火山版,com.ss.android.ugc.live,14.3.0,140300,16,28,1660483698816 ,1660483700091 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483700091 ,1660483739227 
文件管理,com.oneplus.filemanager,2.6.2.200618191557.3e42fa5,30001353,26,29,1660483739255 ,1660483757019 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483757030 ,1660483787125 
设备信息,com.liuzh.deviceinfo,v2.7.9.3,229,21,30,1660483787188 ,1660483787684 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483787684 ,1660483801567 
软件包安装程序,com.android.packageinstaller,10,29,29,29,1660483801642 ,1660483802503 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483802508 ,1660483805497 
软件包安装程序,com.android.packageinstaller,10,29,29,29,1660483805499 ,1660483806273 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483806276 ,1660483815555 
天眼查企业查询,com.tianyancha.skyeye,12.56.0,560,19,30,1660483815611 ,1660483817077 
天眼查企业查询,com.tianyancha.skyeye,12.56.0,560,19,30,1660483817087 ,1660483819216 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660483819227 ,1660483824888 
抖音,com.ss.android.ugc.aweme,21.0.0,210001,19,29,1660483824950 ,1660484141798 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660484141798 ,1660484782970 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660484932184 ,1660485655114 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660485656770 ,1660485659286 
软件包安装程序,com.android.packageinstaller,10,29,29,29,1660485659294 ,1660485659978 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660485659986 ,1660490978433 
抖音,com.ss.android.ugc.aweme,21.0.0,210001,19,29,1660490978464 ,1660491036749 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660491036771 ,1660492384745 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660492891395 ,1660492902227 
系统界面,com.android.systemui,10,29,29,29,1660492902237 ,1660492904284 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660492904325 ,1660497332346 
信息,com.oneplus.mms,5.0.0.201211184018.f360a72,46,28,29,1660497332403 ,1660497336297 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660497336305 ,1660497337324 
信息,com.oneplus.mms,5.0.0.201211184018.f360a72,46,28,29,1660497337332 ,1660497338284 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660497338295 ,1660497345460 
软件包安装程序,com.android.packageinstaller,10,29,29,29,1660497345513 ,1660497346353 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660497346370 ,1660497353936 
软件包安装程序,com.android.packageinstaller,10,29,29,29,1660497353951 ,1660497354630 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660497354697 ,1660499223195 
信息,com.oneplus.mms,5.0.0.201211184018.f360a72,46,28,29,1660499223209 ,1660499223956 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660499223963 ,1660499224933 
设置,com.android.settings,10,1062,29,29,1660499224994 ,1660499225584 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660499225584 ,1660499225622 
信息,com.oneplus.mms,5.0.0.201211184018.f360a72,46,28,29,1660499227227 ,1660499228445 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660499228446 ,1660499238857 
电话,com.android.dialer,4.4.2,250008,29,28,1660499238923 ,1660499391596 
电话,com.android.dialer,4.4.2,250008,29,28,1660535579558 ,1660555579631 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660555579640 ,1660555597464 
文件管理,com.oneplus.filemanager,2.6.2.200618191557.3e42fa5,30001353,26,29,1660555597465 ,1660555607710 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660555607710 ,1660555629974 
设置,com.android.settings,10,1062,29,29,1660555629988 ,1660555633236 
设置,com.android.settings,10,1062,29,29,1660555633242 ,1660555649573 
论文数据,me.sanbo.research,1,1,21,32,1660555649866 ,1660555795362 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660555795362 ,1660555798636 
论文数据,me.sanbo.research,1,1,21,32,1660555798712 ,1660555799816 
设置,com.android.settings,10,1062,29,29,1660555799834 ,1660555944804 
设置,com.android.settings,10,1062,29,29,1660555944900 ,1660555945488 
论文数据,me.sanbo.research,1,1,21,32,1660555945601 ,1660555947064 
设置,com.android.settings,10,1062,29,29,1660555947075 ,1660555964979 
论文数据,me.sanbo.research,1,1,21,32,1660555965057 ,1660555966070 
设置,com.android.settings,10,1062,29,29,1660555966079 ,1660555967930 
设置,com.android.settings,10,1062,29,29,1660555967936 ,1660555985065 
论文数据,me.sanbo.research,1,1,21,32,1660555985160 ,1660556017891 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660556017891 ,1660556020616 
论文数据,me.sanbo.research,1,1,21,32,1660556020696 ,1660556025191 
设置,com.android.settings,10,1062,29,29,1660556025201 ,1660556054246 
论文数据,me.sanbo.research,1,1,21,32,1660556054331 ,1660557766082 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660557766094 ,1660558187943 
论文数据,me.sanbo.research,1,1,21,32,1660558188015 ,1660558194516 
设置,com.android.settings,10,1062,29,29,1660558194516 ,1660558199116 
设置,com.android.settings,10,1062,29,29,1660558199134 ,1660558200252 
设置,com.android.settings,10,1062,29,29,1660558200273 ,1660558201152 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660558201161 ,1660558205936 
论文数据,me.sanbo.research,1,1,21,32,1660558206010 ,1660558293788 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660558293788 ,1660558295898 
论文数据,me.sanbo.research,1,1,21,32,1660558295977 ,1660559128619 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660559128619 ,1660559130657 
论文数据,me.sanbo.research,1,1,21,32,1660559130724 ,1660561326360 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660561326360 ,1660561328513 
论文数据,me.sanbo.research,1,1,21,32,1660561328583 ,1660561369984 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660561369984 ,1660561372313 
论文数据,me.sanbo.research,1,1,21,32,1660561372400 ,1660561379391 
设置,com.android.settings,10,1062,29,29,1660561379401 ,1660561382497 
论文数据,me.sanbo.research,1,1,21,32,1660561382498 ,1660561592552 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660561592552 ,1660561594896 
论文数据,me.sanbo.research,1,1,21,32,1660561594979 ,1660561638410 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660561638410 ,1660561638720 
论文数据,me.sanbo.research,1,1,21,32,1660561638802 ,1660562372428 
一加桌面,net.oneplus.launcher,5.1.10,35110,29,30,1660562372428 ,1660562375180 
